Fouts,Rodgers,Graham,Graham,Manning,Manning,Manning,Manning,Graham,Brady,Brady,Brady,Fouts,Rodgers,Rodgers,Rodgers,Fouts,Namath,Moon,Staubach,Manning,Manning,Brady,Brady
Brees,Manning,Brees,Montana,Brady,Unitas,Brady,Brady,Brady,Montana,Montana,Graham,Namath,Fouts,Fouts,Rivers,Brees,Brees,Aikman,Montana,Brady,Brees,Graham,Favre
Manning,Brady,Montana,Staubach,Brees,Marino,Graham,Unitas,Staubach,Elway,Aikman,Elway,Brees,Graham,Rivers,Namath,Moon,Favre,Staubach,Young,Brees,Marino,Unitas,Manning
Marino,Marino,Fouts,Young,Favre,Favre,Unitas,Favre,Montana,Manning,Graham,Unitas,Moon,Young,Favre,Marino,Manning,Montana,Young,Aikman,Unitas,Brady,Aikman,Brees
Namath,Young,Young,Tarkenton,Unitas,Young,Favre,Young,Manning,Favre,Unitas,Kelly,Tarkenton,Rivers,Marino,Favre,Marino,Rodgers,Montana,Favre,Marino,Favre,Montana,Elway
Staubach,Favre,Tarkenton,Rodgers,Marino,Brees,Montana,Montana,Roethlisberger,Roethlisberger,Elway,Manning,Marino,Brees,Staubach,Fouts,Brady,Marino,Brees,Brees,Elway,Roethlisberger,Elway,Marino
Brady,Brees,Staubach,Manning,Moon,Graham,Rodgers,Rodgers,Young,Aikman,Manning,Montana,Rodgers,Namath,Brees,Young,Rodgers,Staubach,Graham,Rodgers,Roethlisberger,Elway,Namath,Roethlisberger
Tarkenton,Rivers,Manning,Brady,Elway,Brady,Young,Elway,Unitas,Staubach,Roethlisberger,Staubach,Manning,Staubach,Kelly,Roethlisberger,Montana,Moon,Rodgers,Moon,Tarkenton,Unitas,Staubach,Tarkenton
Rodgers,Staubach,Aikman,Marino,Tarkenton,Montana,Marino,Marino,Elway,Graham,Staubach,Aikman,Elway,Kelly,Elway,Elway,Namath,Fouts,Manning,Graham,Favre,Moon,Roethlisberger,Rivers
Montana,Kelly,Kelly,Unitas,Montana,Fouts,Elway,Fouts,Rodgers,Kelly,Brees,Roethlisberger,Kelly,Marino,Aikman,Brees,Favre,Brady,Favre,Manning,Montana,Tarkenton,Young,Unitas
Moon,Montana,Favre,Rivers,Rivers,Rodgers,Tarkenton,Tarkenton,Kelly,Rodgers,Favre,Tarkenton,Unitas,Moon,Namath,Manning,Unitas,Manning,Brady,Unitas,Rivers,Rivers,Rodgers,Montana
Rivers,Roethlisberger,Rodgers,Kelly,Rodgers,Kelly,Fouts,Brees,Favre,Brees,Namath,Favre,Rivers,Montana,Tarkenton,Staubach,Kelly,Graham,Kelly,Brady,Moon,Kelly,Tarkenton,Moon
Roethlisberger,Tarkenton,Brady,Roethlisberger,Young,Elway,Brees,Kelly,Marino,Marino,Rodgers,Brees,Favre,Aikman,Young,Montana,Graham,Aikman,Roethlisberger,Elway,Fouts,Montana,Favre,Kelly
Favre,Fouts,Marino,Brees,Fouts,Tarkenton,Namath,Staubach,Brees,Young,Young,Marino,Aikman,Tarkenton,Moon,Moon,Aikman,Kelly,Fouts,Rivers,Kelly,Foutts,Brees,Rodgers
Graham,Graham,Rivers,Favre,Staubach,Staubach,Staubach,Moon,Aikman,Tarkenton,Fouts,Namath,Montana,Elway,Manning,Aikman,Roethlisberger,Roethlisberger,Unitas,Roethlisberger,Aikman,Aikman,Kelly,Aikman
Unitas,Moon,Roethlisberger,Fouts,Roethlisberger,Moon,Moon,Rivers,Rivers,Unitas,Kelly,Rodgers,Young,Favre,Montana,Tarkenton,Rivers,Tarkenton,Elway,Marino,Namath,Staubach,Manning,Young
Kelly,Unitas,Unitas,Moon,Aikman,Namath,Rivers,Namath,Tarkenton,Rivers,Marino,Young,Staubach,Manning,Graham,Kelly,Elway,Young,Tarkenton,Fouts,Rodgers,Rodgers,Rivers,Fouts
Young,Namath,Moon,Aikman,Graham,Aikman,Roethlisberger,Aikman,Fouts,Fouts,Moon,Fouts,Brady,Roethlisberger,Roethlisberger,Brady,Young,Rivers,Rivers,Kelly,Staubach,Young,Marino,Staubach
Elway,Elway,Elway,Elway,Graham,Roethlisberger,Kelly,Roethlisberger,Moon,Moon,Rivers,Moon,Roethlisberger,Brady,Brady,Graham,Staubach,Elway,Marino,Namath,Young,Namath,Fouts,Namath
Aikman,Aikman,Namath,Namath,Namath,Rivers,Aikman,,Namath,Namath,Tarkenton,Rivers,Graham,Unitas,Unitas,Unitas,Tarkenton,Unitas,Namath,Tarkenton,Graham,Graham,Moon,
